Symbol,Close Sentence,Distance
온라인,화원,0.34817852158095564
온라인,초등학생,0.3485950011872738
일반고속,일반실입니다,0.3484113955455552
일반고속,일반실입니다,0.3484114068519273
일반고속,보통맛,0.37818289648951053
일반고속,분청,0.38762416928045695
일반고속,초등학생,0.38816727585406186
포장해요,포장돼요,0.08309761140796956
포장해요,포장돼요,0.08309764457397939
포장해요,포장할께요,0.10711713581588256
포장해요,아니요 포장해주세요,0.12984292365987282
포장해요,아니요 포장해주세요,0.1298429339289342
남자수영복,남자애,0.28900099129089507
남자수영복,남자,0.30873831928999484
남자수영복,남자,0.3087384063727663
남자수영복,남자,0.30873841712771055
남자수영복,반팔 티셔츠요,0.31151663534965035
일하러가요,숙박하려고요,0.19751164419406153
일하러가요,체크인하려고요,0.21756717639502898
일하러가요,주말에요,0.2189979359454065
일하러가요,머리하려고요,0.2227672283485207
일하러가요,내일 오세요,0.22520008063932018
부채,화원,0.23673024922202046
부채,곡물,0.2563845452611493
부채,경운,0.26038073191047373
부채,경운,0.26038078614930416
부채,여자,0.26824413153728255
리바운드(농구),태권도 도복은?,0.4331486423174553
리바운드(농구),하나는 포켓볼 칠게요,0.44088559175003084
리바운드(농구),캐러멜 드리블이랑 통 잡아 칩이요,0.4448275165499641
리바운드(농구),원터치로 좀 붙는 걸로,0.4461375980781038
리바운드(농구),105 사이즈,0.44823726454255086
감기약,알레르기성 감기약 드릴게요,0.18640995047986664
감기약,종합 감기약으로 드릴게요,0.23675312431771767
감기약,종합 감기약으로 드릴게요,0.23675312431771767
감기약,종합 감기약 주세요,0.23897166365005995
감기약,감기약 주세요,0.25041771630513066
실장,경운,0.19085518551117397
실장,경운,0.1908552058737909
실장,화원,0.21523001506683337
실장,상원,0.2192406461425157
실장,여깄습니다,0.230050740629004
주차장,상원,0.26655584571337343
주차장,경운,0.26661840175339224
주차장,경운,0.26661841628218474
주차장,초등학생,0.26688354467857645
주차장,화원,0.2696158013853549
아침조회,아침에는예?,0.30037666426604925
아침조회,금요일은 류산슬밥입니다,0.3017202532942318
아침조회,곡물,0.3030039025847364
아침조회,연어초밥요,0.30888508738885323
아침조회,아침에는 열시요,0.31035942187839205
너무느려요,너무 길어요,0.1910805341168451
너무느려요,너무 비싸요,0.2092342707348861
너무느려요,너무 화려해요,0.20995566634047602
너무느려요,진짜 털이에요,0.22091600407436207
너무느려요,킹사이즈예요,0.2224633217001699
카드충전소,카드결제할게요,0.26891539842705137
카드충전소,카드결제할께요,0.2694332877181933
카드충전소,카드 계산할게요,0.2842601551936693
카드충전소,카드 계산할게요,0.2842601600565633
카드충전소,카드 계산할게요,0.2842601782122596
딸기,화원,0.26125290986468497
딸기,곡물,0.27277490691064055
딸기,생크림 케이크요,0.2791261679352153
딸기,싹스요,0.28412963966615945
딸기,여깄습니다,0.28866691863885274
여기-그릇-치워주세요,여기 앉아주세요,0.24092939024997395
여기-그릇-치워주세요,여기 좀 치워주세요,0.24095040408037516
여기-그릇-치워주세요,여기 테이블 좀 닦아주세요,0.2514111891753914
여기-그릇-치워주세요,매직 세팅해주세요,0.25504599379834203
여기-그릇-치워주세요,여기 주세요,0.25982009083561464
고등어,김치찌개,0.23893553841279758
고등어,초새우,0.24899065959021405
고등어,상원,0.2722148845876484
고등어,남자,0.2770389741495731
고등어,남자,0.2770390150096851
섞어요,시럽 주세요,0.19682724005407903
섞어요,네 섞어서 주세요,0.22648131686644968
섞어요,안주에요,0.2286770030320029
섞어요,많이 넣어요,0.23175926114725098
섞어요,짜장이에요,0.23495507129552173
이룸센터,투룸이요,0.20567129381271076
이룸센터,패밀리룸이요,0.22877978910489283
이룸센터,인크레더블이요,0.24172915187133936
이룸센터,대실이요,0.2501611086161899
이룸센터,대실이요,0.2501611086161899
씹어요,열어요,0.19950200839280963
씹어요,열어요,0.19950204902696367
씹어요,잘라서 먹어요,0.2159448391698573
씹어요,매워요,0.23493256581519795
씹어요,신어보세요,0.2360289644803466
높은,"네, 높은 층이면요",0.3079027995655269
높은,네 작은 걸로,0.32876571601090276
높은,네 높은게 좋아요,0.3412075055851741
높은,같은 겁니다,0.3596754013111726
높은,네  작은 거,0.3600077713671296
해킹,상원,0.2930473935923008
해킹,265,0.30054128333430863
해킹,초등학생,0.30530938580126077
해킹,남자,0.31959335924202503
해킹,남자,0.31959339093501216
홍콩HKD,분청,0.35401749155097517
홍콩HKD,초새우,0.3606395907780675
홍콩HKD,601호,0.3637765786027727
홍콩HKD,라쿤털입니다,0.3732929033356249
홍콩HKD,오월달요,0.3769792570556243
음표,감색이요,0.2682667356011148
음표,아,0.2736040544987641
음표,네 생수,0.27499617661363573
음표,반코트요,0.2762450843542179
음표,대곡요,0.2813375410830976
시댁,상원,0.23829546329689033
시댁,경운,0.2532247827410967
시댁,경운,0.25322479956832966
시댁,화원,0.2622518536089996
시댁,여깄습니다,0.2737023037954306
복합기,전자피아노,0.2830440068287723
복합기,분청,0.3238477234431507
복합기,남자,0.35728226193773693
복합기,남자,0.35728226925836337
복합기,남자,0.3572823304819974
위암,초등학생,0.328907038047459
위암,남자,0.3559094312943084
위암,남자,0.3559094369696213
위암,남자,0.35590946184411376
위암,245,0.35691723843334944
정리할래요,계약할게요,0.1466256704784974
정리할래요,계약할게요,0.14662567492415213
정리할래요,계산할게요,0.16422508703230632
정리할래요,계산할게요,0.16422508703230632
정리할래요,계산할게요,0.1642250893227003
15분전에,1시간30분 이요,0.30770014704409554
15분전에,하루 전에요,0.3134339537417322
15분전에,60분이요,0.32463853949042143
15분전에,3시간이요,0.3261148811901028
15분전에,3시간이요,0.32611488466890126
치로와친구들,우리 딸내미가요,0.27581937056578787
치로와친구들,신명여중이요,0.299393610260955
치로와친구들,인크레더블이요,0.29959123512679886
치로와친구들,슬링백이요,0.3139288488423577
치로와친구들,투룸이요,0.3148471771936123
간장에찍어요,간장에 무쳤어요,0.1623957603541708
간장에찍어요,제육볶음이에요,0.2159783625594378
간장에찍어요,돈가스에요,0.21977436678007056
간장에찍어요,짜장이에요,0.22103922975185775
간장에찍어요,돼지고기에요,0.22541503503059213
가드(농구),여자,0.41725120858231124
가드(농구),캐러멜 드리블이랑 통 잡아 칩이요,0.4214515278114763
가드(농구),슈가는?,0.42178841050006943
가드(농구),저는 230,0.42372729838751
